Order_ID,Date,Salesperson,Customer_Name,City,State,Spice_Name,Category,Quantity_KG,Price_Per_KG,Total_Amount,Cost_Per_KG,Profit
MM040,24-Jun-25,Priya Patel,Solapur Supreme,Solapur,Maharashtra,Cloves,Whole Spices,3.00,1500.00,"4,500.00","1,200.00",900
MM041,24-Jun-25,Ramesh Gupta,Pune Premium,Pune,Maharashtra,Nutmeg,Whole Spices,1.00,2000.00,"2,000.00","1,500.00",500
MM042,24-Jun-25,Amit Kumar,Mumbai Magic,Mumbai,Maharashtra,Mace,Whole Spices,1.00,2500.00,"2,500.00","2,000.00",500
MM043,24-Jun-25,Sunita Singh,Nashik Natural,Nashik,Maharashtra,Curry Leaves Powder,Ground Spices,10.00,250.00,"2,500.00",180,700
MM044,24-Jun-25,Priya Patel,Aurangabad Aroma,Aurangabad,Maharashtra,Rajma Masala,Spice Blends,13.00,280.00,"3,640.00",180,"1,300.00"
MM045,24-Jun-25,Ramesh Gupta,Kolhapur Kraft,Kolhapur,Maharashtra,Meat Masala,Spice Blends,11.00,400.00,"4,400.00",260,"1,540.00"
MM046,24-Jul-25,Amit Kumar,Nagpur Nouvelle,Nagpur,Maharashtra,Fish Masala,Spice Blends,9.00,380.00,"3,420.00",240,"1,260.00"
MM047,24-Jul-25,Sunita Singh,Thane Taste,Thane,Maharashtra,Chicken Masala,Spice Blends,17.00,360.00,"6,120.00",230,"2,210.00"
MM048,24-Jul-25,Priya Patel,Mumbai Modern,Mumbai,Maharashtra,Kitchen King Masala,Spice Blends,21.00,320.00,"6,720.00",200,"2,520.00"
MM049,24-Jul-25,Ramesh Gupta,Pune Perfect,Pune,Maharashtra,Chana Masala,Spice Blends,14.00,290.00,"4,060.00",185,"1,470.00"
MM050,24-Jul-25,Amit Kumar,Final Order Cafe,Mumbai,Maharashtra,Mixed Spice Powder,Spice Blends,25.00,240.00,"6,000.00",160,"2,000.00"
